conversion_id,path,n_touchpoints,converted
1,Display|Email,2,1
2,Email,1,0
3,Paid_Search|Email|Display,3,1
4,Email|Paid_Search,2,1
5,Paid_Search|Paid_Search,2,0
6,Social,1,0
7,Social,1,1
8,Social|Social|Paid_Search,3,1
9,Social|Paid_Search|Social|Social,4,0
10,Display|Social|Email,3,0
11,Paid_Search,1,1
12,Email,1,1
13,Social,1,1
14,Display|Paid_Search|Email|Paid_Search,4,1
15,Display|Social|Paid_Search,3,1
16,Social|Email,2,0
17,Email|Email|Paid_Search,3,0
18,Email|Paid_Search,2,1
19,Paid_Search,1,1
20,Social|Email|Paid_Search|Paid_Search,4,1
21,Paid_Search,1,0
22,Email,1,0
23,Display|Paid_Search|Paid_Search,3,0
24,Paid_Search|Social|Social,3,1
25,Paid_Search,1,1
26,Social|Display|Display,3,1
27,Social|Paid_Search,2,1
28,Paid_Search,1,0
29,Paid_Search,1,1
30,Display|Email|Paid_Search,3,1
31,Display|Social,2,1
32,Display|Paid_Search,2,1
33,Social,1,0
34,Paid_Search|Paid_Search|Display|Paid_Search,4,0
35,Email,1,0
36,Paid_Search,1,0
37,Display|Paid_Search|Email|Paid_Search,4,1
38,Email,1,0
39,Paid_Search,1,0
40,Social|Paid_Search|Email,3,1
41,Display|Email|Email,3,1
42,Paid_Search,1,0
43,Display|Social,2,0
44,Social|Email,2,1
45,Social,1,0
46,Display|Social|Display|Paid_Search,4,1
47,Social,1,0
48,Social,1,0
49,Social,1,0
50,Social|Email|Paid_Search,3,0
51,Display|Social|Social,3,0
52,Display|Social|Paid_Search,3,1
53,Paid_Search|Paid_Search,2,0
54,Paid_Search,1,0
55,Paid_Search|Social,2,0
56,Paid_Search,1,1
57,Display|Email,2,1
58,Social|Paid_Search|Paid_Search,3,1
59,Display|Social|Paid_Search|Social,4,1
60,Display|Display|Paid_Search,3,0
61,Display|Paid_Search,2,0
62,Paid_Search,1,1
63,Email,1,1
64,Email|Paid_Search,2,1
65,Display|Social,2,0
66,Display|Social,2,1
67,Social,1,0
68,Social|Social,2,0
69,Display|Paid_Search,2,1
70,Display|Paid_Search,2,0
71,Paid_Search,1,0
72,Display|Paid_Search|Paid_Search,3,0
73,Display|Social|Paid_Search,3,0
74,Social|Email|Email,3,1
75,Email|Paid_Search|Display|Email,4,0
76,Display|Paid_Search,2,1
77,Display|Email,2,1
78,Paid_Search|Social,2,1
79,Social|Paid_Search|Paid_Search,3,1
80,Email,1,1
81,Display|Paid_Search|Paid_Search,3,0
82,Display|Paid_Search|Email|Paid_Search,4,1
83,Display|Paid_Search,2,1
84,Paid_Search,1,1
85,Display|Social,2,1
86,Social|Paid_Search|Display,3,0
87,Email,1,1
88,Display|Social,2,0
89,Email|Social|Social,3,0
90,Paid_Search,1,1
91,Display|Paid_Search,2,1
92,Display|Display|Paid_Search,3,0
93,Display|Social|Display|Social,4,0
94,Social|Social|Display|Social,4,0
95,Email|Paid_Search|Paid_Search,3,0
96,Display|Social|Paid_Search|Paid_Search,4,0
97,Social|Social,2,1
