respondent_id,task_id,alternative,chosen,price,content,ads,plan
1,1,1,0,18,premium,full_ads,monthly
1,1,2,1,10,standard,no_ads,annual
1,1,3,0,18,standard,full_ads,annual
1,2,1,0,18,premium,full_ads,annual
1,2,2,0,14,premium,limited_ads,annual
1,2,3,1,10,premium,limited_ads,annual
1,3,1,0,10,standard,no_ads,monthly
1,3,2,1,22,premium,no_ads,annual
1,3,3,0,14,standard,no_ads,annual
1,4,1,1,18,standard,no_ads,monthly
1,4,2,0,18,premium,full_ads,annual
1,4,3,0,14,standard,limited_ads,monthly
1,5,1,1,22,standard,no_ads,annual
1,5,2,0,18,standard,limited_ads,monthly
1,5,3,0,22,premium,limited_ads,annual
1,6,1,0,14,premium,limited_ads,monthly
1,6,2,0,14,premium,limited_ads,annual
1,6,3,1,14,standard,no_ads,annual
1,7,1,0,22,standard,limited_ads,annual
1,7,2,1,10,premium,no_ads,monthly
1,7,3,0,10,premium,full_ads,monthly
1,8,1,0,10,standard,full_ads,monthly
1,8,2,1,10,premium,no_ads,monthly
1,8,3,0,22,standard,no_ads,monthly
2,9,1,0,14,standard,limited_ads,monthly
2,9,2,1,10,premium,limited_ads,monthly
2,9,3,0,18,premium,full_ads,monthly
2,10,1,0,14,standard,no_ads,monthly
2,10,2,0,18,premium,no_ads,monthly
2,10,3,1,18,standard,limited_ads,monthly
2,11,1,0,18,standard,limited_ads,annual
2,11,2,1,18,standard,no_ads,monthly
2,11,3,0,22,premium,limited_ads,monthly
2,12,1,1,10,standard,no_ads,monthly
2,12,2,0,22,standard,no_ads,monthly
2,12,3,0,14,premium,full_ads,annual
2,13,1,0,14,premium,limited_ads,annual
2,13,2,0,14,standard,full_ads,monthly
2,13,3,1,10,standard,no_ads,annual
2,14,1,1,10,standard,no_ads,monthly
2,14,2,0,18,standard,limited_ads,monthly
2,14,3,0,14,premium,no_ads,monthly
2,15,1,0,22,premium,full_ads,annual
2,15,2,0,10,premium,limited_ads,monthly
2,15,3,1,10,standard,full_ads,annual
2,16,1,1,10,premium,limited_ads,annual
2,16,2,0,10,premium,full_ads,monthly
2,16,3,0,14,standard,limited_ads,annual
3,17,1,1,18,premium,no_ads,monthly
3,17,2,0,10,standard,limited_ads,annual
3,17,3,0,14,premium,limited_ads,monthly
3,18,1,0,22,standard,full_ads,annual
3,18,2,1,22,standard,no_ads,annual
3,18,3,0,22,standard,limited_ads,monthly
3,19,1,0,22,premium,no_ads,annual
3,19,2,0,22,premium,no_ads,annual
3,19,3,1,18,premium,full_ads,monthly
3,20,1,1,18,premium,limited_ads,monthly
3,20,2,0,22,premium,full_ads,annual
3,20,3,0,14,standard,limited_ads,annual
3,21,1,0,22,standard,no_ads,monthly
3,21,2,0,18,premium,no_ads,annual
3,21,3,1,22,standard,no_ads,monthly
3,22,1,0,14,premium,limited_ads,monthly
3,22,2,0,10,standard,full_ads,monthly
3,22,3,1,14,premium,limited_ads,annual
3,23,1,0,10,standard,full_ads,annual
3,23,2,0,10,premium,no_ads,monthly
3,23,3,1,10,premium,no_ads,monthly
3,24,1,0,14,premium,limited_ads,annual
3,24,2,1,18,premium,no_ads,monthly
3,24,3,0,14,standard,no_ads,annual
4,25,1,1,22,standard,no_ads,annual
4,25,2,0,10,premium,full_ads,annual
4,25,3,0,10,premium,full_ads,annual
4,26,1,0,10,standard,full_ads,monthly
4,26,2,0,18,standard,full_ads,annual
4,26,3,1,10,premium,no_ads,monthly
4,27,1,0,22,premium,full_ads,annual
4,27,2,0,14,standard,limited_ads,annual
4,27,3,1,18,premium,no_ads,annual
4,28,1,0,14,premium,limited_ads,monthly
4,28,2,1,10,standard,limited_ads,annual
4,28,3,0,14,standard,limited_ads,monthly
4,29,1,0,22,standard,limited_ads,monthly
4,29,2,0,10,premium,full_ads,annual
4,29,3,1,22,premium,no_ads,monthly
4,30,1,1,14,premium,no_ads,monthly
4,30,2,0,10,premium,no_ads,annual
4,30,3,0,14,premium,limited_ads,monthly
4,31,1,0,14,standard,limited_ads,monthly
4,31,2,1,10,premium,full_ads,annual
4,31,3,0,10,standard,limited_ads,monthly
4,32,1,1,14,standard,no_ads,monthly
4,32,2,0,22,standard,limited_ads,annual
4,32,3,0,18,standard,no_ads,monthly
5,33,1,0,18,premium,full_ads,annual
5,33,2,0,18,standard,full_ads,annual
5,33,3,1,14,premium,full_ads,monthly
5,34,1,0,14,premium,full_ads,annual
5,34,2,0,10,premium,full_ads,monthly
5,34,3,1,10,premium,full_ads,monthly
5,35,1,0,14,premium,no_ads,monthly
5,35,2,0,10,premium,full_ads,monthly
5,35,3,1,14,premium,full_ads,annual
5,36,1,0,14,premium,full_ads,monthly
5,36,2,1,14,premium,full_ads,monthly
5,36,3,0,14,standard,limited_ads,annual
5,37,1,0,14,standard,limited_ads,annual
5,37,2,1,10,standard,no_ads,annual
5,37,3,0,22,premium,no_ads,annual
5,38,1,0,14,standard,full_ads,monthly
5,38,2,0,18,standard,no_ads,monthly
5,38,3,1,14,standard,full_ads,monthly
5,39,1,0,14,premium,full_ads,monthly
5,39,2,0,18,standard,limited_ads,annual
5,39,3,1,14,premium,limited_ads,annual
5,40,1,1,18,premium,limited_ads,monthly
5,40,2,0,18,standard,full_ads,monthly
5,40,3,0,22,premium,full_ads,monthly
6,41,1,1,18,standard,no_ads,annual
6,41,2,0,10,standard,no_ads,annual
6,41,3,0,22,standard,no_ads,monthly
6,42,1,0,18,standard,limited_ads,monthly
6,42,2,1,22,premium,full_ads,annual
6,42,3,0,18,standard,full_ads,monthly
6,43,1,0,10,standard,limited_ads,monthly
6,43,2,1,18,premium,no_ads,annual
6,43,3,0,18,premium,full_ads,annual
6,44,1,0,22,standard,no_ads,annual
6,44,2,1,10,standard,limited_ads,annual
6,44,3,0,18,premium,full_ads,monthly
6,45,1,1,18,standard,limited_ads,monthly
6,45,2,0,14,premium,full_ads,monthly
6,45,3,0,14,standard,limited_ads,monthly
6,46,1,1,14,premium,full_ads,monthly
6,46,2,0,18,premium,full_ads,monthly
6,46,3,0,10,standard,no_ads,monthly
6,47,1,0,22,premium,no_ads,monthly
6,47,2,0,14,standard,no_ads,annual
6,47,3,1,18,premium,no_ads,monthly
6,48,1,1,22,premium,limited_ads,annual
6,48,2,0,10,standard,full_ads,monthly
6,48,3,0,10,premium,limited_ads,monthly
7,49,1,0,10,standard,full_ads,annual
7,49,2,1,14,premium,full_ads,annual
7,49,3,0,18,standard,limited_ads,monthly
7,50,1,1,10,premium,no_ads,monthly
7,50,2,0,14,standard,full_ads,monthly
7,50,3,0,18,standard,full_ads,annual
7,51,1,0,22,standard,full_ads,monthly
7,51,2,1,22,premium,limited_ads,annual
7,51,3,0,10,premium,limited_ads,annual
7,52,1,0,22,premium,limited_ads,annual
7,52,2,1,10,premium,no_ads,annual
7,52,3,0,10,standard,full_ads,annual
7,53,1,0,22,standard,full_ads,annual
7,53,2,1,14,premium,no_ads,annual
7,53,3,0,10,premium,limited_ads,annual
7,54,1,0,18,standard,full_ads,monthly
7,54,2,0,14,standard,limited_ads,annual
7,54,3,1,18,standard,limited_ads,monthly
7,55,1,0,18,standard,full_ads,monthly
7,55,2,1,10,standard,no_ads,monthly
7,55,3,0,18,premium,full_ads,monthly
7,56,1,0,14,standard,full_ads,monthly
7,56,2,1,10,premium,limited_ads,monthly
7,56,3,0,14,standard,limited_ads,monthly
8,57,1,0,10,premium,limited_ads,monthly
8,57,2,1,22,premium,no_ads,annual
8,57,3,0,14,premium,limited_ads,annual
8,58,1,0,14,premium,full_ads,annual
8,58,2,1,14,premium,no_ads,monthly
8,58,3,0,18,standard,no_ads,monthly
8,59,1,0,14,premium,no_ads,monthly
8,59,2,0,22,premium,limited_ads,annual
8,59,3,1,14,premium,no_ads,monthly
8,60,1,1,14,premium,full_ads,annual
8,60,2,0,18,premium,limited_ads,monthly
8,60,3,0,10,standard,full_ads,annual
8,61,1,1,10,premium,full_ads,annual
8,61,2,0,10,premium,limited_ads,monthly
8,61,3,0,14,standard,no_ads,annual
8,62,1,0,18,standard,no_ads,monthly
8,62,2,0,18,premium,full_ads,monthly
8,62,3,1,18,standard,limited_ads,monthly
8,63,1,0,18,standard,full_ads,annual
8,63,2,1,10,premium,full_ads,annual
8,63,3,0,10,premium,limited_ads,annual
8,64,1,0,14,premium,full_ads,monthly
8,64,2,0,10,standard,full_ads,annual
8,64,3,1,14,standard,no_ads,annual
9,65,1,0,14,premium,full_ads,annual
9,65,2,1,10,premium,no_ads,monthly
9,65,3,0,14,premium,limited_ads,annual
9,66,1,0,22,premium,full_ads,annual
9,66,2,0,22,standard,no_ads,monthly
9,66,3,1,14,standard,no_ads,annual
9,67,1,0,14,premium,no_ads,monthly
9,67,2,1,10,standard,full_ads,annual
9,67,3,0,10,standard,no_ads,annual
9,68,1,0,22,standard,full_ads,monthly
9,68,2,0,22,premium,no_ads,monthly
9,68,3,1,18,premium,no_ads,annual
9,69,1,0,22,premium,full_ads,annual
9,69,2,0,10,standard,limited_ads,annual
9,69,3,1,14,standard,no_ads,monthly
9,70,1,0,10,standard,full_ads,annual
9,70,2,0,14,standard,limited_ads,monthly
9,70,3,1,14,standard,no_ads,monthly
9,71,1,0,18,standard,full_ads,annual
9,71,2,1,14,premium,no_ads,annual
9,71,3,0,14,standard,limited_ads,annual
9,72,1,0,14,standard,limited_ads,monthly
9,72,2,0,14,standard,full_ads,annual
