customer_id,month,state
C0001,1,Active
C0001,2,At_Risk
C0001,3,Lapsed
C0001,4,Lapsed
C0001,5,At_Risk
C0001,6,Casual
C0001,7,Active
C0001,8,Casual
C0001,9,Casual
C0001,10,At_Risk
C0001,11,Active
C0001,12,Lapsed
C0001,13,Churned
C0001,14,Churned
C0001,15,Churned
C0001,16,Churned
C0001,17,Churned
C0001,18,Churned
C0001,19,Churned
C0001,20,Churned
C0001,21,Churned
C0001,22,Churned
C0001,23,Churned
C0001,24,Churned
C0002,1,At_Risk
C0002,2,Casual
C0002,3,Casual
C0002,4,Casual
C0002,5,Active
C0002,6,Active
C0002,7,Active
C0002,8,Power_User
C0002,9,Casual
C0002,10,Lapsed
C0002,11,Churned
C0002,12,Churned
C0002,13,Churned
C0002,14,Churned
C0002,15,Churned
C0002,16,Churned
C0002,17,Churned
C0002,18,Churned
C0002,19,Churned
C0002,20,Churned
C0002,21,Churned
C0002,22,Churned
C0002,23,Churned
C0002,24,Churned
C0003,1,Lapsed
C0003,2,Churned
C0003,3,Churned
C0003,4,Churned
C0003,5,Churned
C0003,6,Churned
C0003,7,Churned
C0003,8,Churned
C0003,9,Churned
C0003,10,Churned
C0003,11,Churned
C0003,12,Churned
C0003,13,Churned
C0003,14,Churned
C0003,15,Churned
C0003,16,Churned
C0003,17,Churned
C0003,18,Churned
C0003,19,Churned
C0003,20,Churned
C0003,21,Churned
C0003,22,Churned
C0003,23,Churned
C0003,24,Churned
C0004,1,Casual
C0004,2,At_Risk
C0004,3,Active
C0004,4,Active
C0004,5,Power_User
C0004,6,Active
C0004,7,Active
C0004,8,Active
C0004,9,Power_User
C0004,10,Power_User
C0004,11,Power_User
C0004,12,Active
C0004,13,Active
C0004,14,At_Risk
C0004,15,At_Risk
C0004,16,Active
C0004,17,Casual
C0004,18,At_Risk
C0004,19,At_Risk
C0004,20,Lapsed
C0004,21,Lapsed
C0004,22,Lapsed
C0004,23,Lapsed
C0004,24,Active
C0005,1,Power_User
C0005,2,Power_User
C0005,3,Power_User
C0005,4,Power_User
C0005,5,Casual
C0005,6,Active
C0005,7,Active
C0005,8,Casual
C0005,9,Active
C0005,10,Power_User
C0005,11,Power_User
C0005,12,Power_User
C0005,13,Casual
C0005,14,At_Risk
C0005,15,At_Risk
C0005,16,Lapsed
C0005,17,Churned
C0005,18,Churned
C0005,19,Churned
C0005,20,Churned
C0005,21,Churned
C0005,22,Churned
C0005,23,Churned
C0005,24,Churned
C0006,1,Active
C0006,2,Casual
C0006,3,At_Risk
C0006,4,Power_User
C0006,5,Power_User
C0006,6,Power_User
C0006,7,Power_User
C0006,8,Power_User
C0006,9,Power_User
C0006,10,Casual
C0006,11,Casual
C0006,12,Casual
C0006,13,At_Risk
C0006,14,At_Risk
C0006,15,Churned
C0006,16,Churned
C0006,17,Churned
C0006,18,Churned
C0006,19,Churned
C0006,20,Churned
C0006,21,Churned
C0006,22,Churned
C0006,23,Churned
C0006,24,Churned
C0007,1,Lapsed
C0007,2,At_Risk
C0007,3,Casual
C0007,4,Casual
C0007,5,Churned
C0007,6,Churned
C0007,7,Churned
C0007,8,Churned
C0007,9,Churned
C0007,10,Churned
C0007,11,Churned
C0007,12,Churned
C0007,13,Churned
C0007,14,Churned
C0007,15,Churned
C0007,16,Churned
C0007,17,Churned
C0007,18,Churned
C0007,19,Churned
C0007,20,Churned
C0007,21,Churned
C0007,22,Churned
C0007,23,Churned
C0007,24,Churned
C0008,1,Active
C0008,2,Active
C0008,3,Active
C0008,4,At_Risk
C0008,5,Active
C0008,6,Active
C0008,7,Power_User
C0008,8,Casual
C0008,9,At_Risk
C0008,10,Casual
C0008,11,Casual
C0008,12,At_Risk
C0008,13,At_Risk
C0008,14,At_Risk
C0008,15,Casual
C0008,16,Active
C0008,17,At_Risk
C0008,18,Churned
C0008,19,Churned
