customer_id,treated,converted,tenure_months,avg_workouts_week,streak_active,support_tickets_30d,plan_type
C00001,1,1,60.0,2.3,0,0,monthly
C00002,0,0,60.0,5.7,1,0,monthly
C00003,1,1,48.2,3.5,1,1,monthly
C00004,0,1,60.0,2.0,0,0,annual
C00005,0,0,60.0,7.1,1,2,monthly
C00006,1,1,60.0,1.6,1,2,monthly
C00007,1,0,60.0,1.9,0,1,annual
C00008,1,0,60.0,2.6,1,0,monthly
C00009,1,0,60.0,2.3,0,0,monthly
C00010,1,1,60.0,8.0,1,0,monthly
C00011,0,0,60.0,1.4,0,1,monthly
C00012,0,1,60.0,1.5,0,0,annual
C00013,1,1,60.0,2.4,1,2,monthly
C00014,1,0,60.0,0.8,1,1,monthly
C00015,0,0,60.0,5.0,0,1,annual
C00016,0,0,60.0,5.5,1,2,monthly
C00017,1,0,60.0,3.6,1,0,annual
C00018,1,0,40.7,2.4,0,0,monthly
C00019,1,0,60.0,2.1,1,0,monthly
C00020,1,1,60.0,2.2,1,1,monthly
C00021,1,1,57.4,3.8,0,0,monthly
C00022,1,1,57.8,3.3,1,1,monthly
C00023,0,0,60.0,0.7,1,1,monthly
C00024,1,1,60.0,3.4,1,0,monthly
C00025,0,0,59.1,1.3,1,0,monthly
C00026,1,0,60.0,1.8,0,1,monthly
C00027,0,1,45.7,0.5,0,0,monthly
C00028,0,1,60.0,1.8,1,1,monthly
C00029,0,1,60.0,6.9,1,0,monthly
C00030,1,0,43.1,2.8,0,1,monthly
C00031,0,1,60.0,0.4,0,0,annual
C00032,1,0,60.0,1.2,1,1,monthly
C00033,0,0,60.0,3.9,0,1,monthly
C00034,0,1,57.1,3.2,0,1,monthly
C00035,0,0,60.0,1.7,1,1,monthly
C00036,1,1,60.0,1.5,1,1,annual
C00037,1,1,60.0,1.4,1,1,monthly
C00038,1,1,60.0,2.0,1,0,monthly
C00039,0,0,60.0,3.0,0,0,monthly
C00040,0,1,60.0,3.0,1,1,annual
C00041,0,0,60.0,1.3,0,1,monthly
C00042,1,0,60.0,5.9,1,2,monthly
C00043,0,1,60.0,3.1,1,0,monthly
C00044,1,1,46.7,1.2,1,0,monthly
C00045,0,0,49.6,0.3,1,0,monthly
C00046,0,1,56.1,5.8,0,0,monthly
C00047,1,1,60.0,4.3,1,2,monthly
C00048,1,1,60.0,1.1,0,1,monthly
C00049,1,0,60.0,2.2,0,0,monthly
C00050,0,1,60.0,5.3,0,0,monthly
C00051,1,1,60.0,4.7,1,2,monthly
C00052,0,0,39.7,3.8,1,0,monthly
C00053,1,1,60.0,2.9,0,0,monthly
C00054,1,0,60.0,1.3,0,1,monthly
C00055,1,0,60.0,2.1,1,2,monthly
C00056,1,1,60.0,2.5,0,1,monthly
C00057,0,1,60.0,3.6,1,1,annual
C00058,1,1,56.5,4.3,1,3,monthly
C00059,0,0,60.0,1.5,1,1,annual
C00060,0,1,60.0,2.8,1,0,annual
C00061,0,0,57.3,5.2,0,0,annual
C00062,1,1,56.2,4.7,1,2,monthly
C00063,0,1,60.0,6.1,0,2,annual
C00064,0,1,58.8,2.8,0,1,annual
C00065,0,1,51.1,1.8,0,0,annual
C00066,1,1,44.5,3.9,1,0,monthly
C00067,0,1,60.0,1.6,1,1,monthly
C00068,1,0,45.1,1.4,0,2,monthly
C00069,1,1,39.3,5.4,1,0,monthly
C00070,1,0,60.0,1.2,0,0,annual
C00071,1,1,60.0,2.8,1,0,monthly
C00072,0,1,54.3,0.5,0,0,monthly
C00073,0,0,52.3,6.2,1,1,monthly
C00074,1,1,60.0,1.3,1,1,monthly
C00075,1,1,60.0,4.7,0,0,annual
C00076,0,1,60.0,1.6,1,2,annual
C00077,0,1,60.0,3.7,0,1,monthly
C00078,1,0,60.0,1.1,1,1,monthly
C00079,1,1,60.0,2.7,1,1,monthly
C00080,1,1,53.5,2.1,1,1,monthly
C00081,0,0,60.0,1.1,0,0,monthly
C00082,1,1,60.0,4.1,1,1,annual
C00083,1,0,60.0,4.6,0,1,annual
C00084,1,1,42.5,2.7,1,1,monthly
C00085,0,1,60.0,0.7,1,0,monthly
C00086,1,0,60.0,0.7,1,0,monthly
C00087,0,1,60.0,0.8,1,1,annual
C00088,1,0,60.0,3.3,0,1,annual
C00089,0,0,38.3,1.3,1,0,monthly
C00090,0,0,60.0,6.8,0,1,monthly
C00091,1,0,60.0,0.7,0,1,monthly
C00092,0,1,60.0,1.8,1,0,annual
C00093,0,0,48.5,4.5,1,1,monthly
C00094,1,0,60.0,5.5,0,1,annual
C00095,1,1,60.0,2.7,1,0,monthly
C00096,1,1,60.0,1.9,0,1,annual
C00097,1,1,60.0,3.7,0,0,monthly
C00098,0,1,60.0,1.7,0,4,annual
C00099,1,0,52.0,0.7,1,0,annual
C00100,1,1,60.0,2.0,1,0,annual
C00101,1,1,60.0,1.5,1,2,annual
C00102,0,0,60.0,5.1,0,2,monthly
C00103,0,1,59.9,0.9,1,0,monthly
C00104,1,1,60.0,1.0,0,0,monthly
C00105,0,0,60.0,1.4,1,0,monthly
C00106,1,1,60.0,2.1,1,0,monthly
C00107,1,1,60.0,7.3,1,1,monthly
C00108,1,1,60.0,1.6,1,1,annual
C00109,0,0,60.0,3.5,1,3,monthly
C00110,0,1,60.0,2.5,1,0,annual
C00111,0,0,60.0,2.9,1,1,monthly
C00112,1,0,60.0,3.3,1,0,annual
C00113,0,0,50.4,5.4,0,0,monthly
C00114,1,1,60.0,1.5,1,0,monthly
C00115,1,0,60.0,2.0,1,1,monthly
C00116,0,0,60.0,4.0,0,1,annual
C00117,1,0,60.0,3.0,0,0,annual
C00118,1,1,60.0,0.4,1,1,monthly
C00119,1,1,60.0,0.9,1,2,monthly
C00120,0,1,59.2,3.3,0,0,annual
C00121,1,1,60.0,1.1,0,0,monthly
C00122,0,1,56.9,1.5,1,0,monthly
C00123,1,0,60.0,3.5,0,2,monthly
C00124,0,0,42.0,5.4,0,1,annual
C00125,0,1,60.0,6.3,1,0,monthly
C00126,0,1,60.0,2.2,1,0,monthly
C00127,1,1,60.0,4.1,0,0,monthly
C00128,0,0,55.5,4.4,0,1,annual
C00129,1,1,49.1,1.7,1,1,monthly
C00130,1,1,60.0,3.9,0,0,annual
C00131,0,1,60.0,3.7,0,0,monthly
C00132,0,0,60.0,3.5,0,1,monthly
C00133,0,1,60.0,3.5,0,1,annual
C00134,0,0,56.7,5.5,0,0,monthly
C00135,1,0,60.0,0.6,1,0,annual
C00136,0,0,53.5,1.9,0,0,annual
C00137,0,1,60.0,5.3,0,1,annual
C00138,0,0,60.0,0.7,0,0,monthly
C00139,1,1,60.0,0.5,1,0,annual
C00140,1,1,60.0,0.9,1,0,annual
C00141,0,0,60.0,5.3,0,3,annual
C00142,1,0,60.0,2.9,1,0,annual
C00143,1,1,60.0,5.5,0,1,monthly
C00144,1,0,60.0,2.2,1,2,annual
C00145,1,1,60.0,4.3,0,0,monthly
C00146,1,0,60.0,2.5,0,3,monthly
C00147,0,1,60.0,3.6,0,0,monthly
C00148,1,1,60.0,1.2,0,0,annual
C00149,0,1,60.0,3.0,1,0,monthly
C00150,0,0,60.0,3.2,0,2,annual
C00151,1,0,60.0,3.4,1,1,monthly
C00152,0,0,60.0,9.3,0,0,monthly
C00153,1,1,60.0,3.7,1,2,monthly
C00154,0,1,60.0,7.7,0,0,monthly
C00155,0,1,60.0,1.3,1,0,monthly
C00156,0,1,60.0,2.5,0,0,annual
C00157,1,0,60.0,0.4,0,0,monthly
C00158,0,0,60.0,1.0,0,0,monthly
C00159,0,0,60.0,1.6,1,1,monthly
C00160,0,1,60.0,6.6,1,0,monthly
C00161,0,0,60.0,6.0,0,4,monthly
C00162,0,0,60.0,3.1,0,0,monthly
C00163,0,0,60.0,1.6,0,2,monthly
C00164,0,0,34.3,1.4,0,0,monthly
C00165,1,1,60.0,2.6,1,0,annual
C00166,0,0,50.8,3.9,0,1,monthly
C00167,1,1,60.0,5.3,0,2,monthly
C00168,0,1,55.1,4.1,1,0,annual
C00169,1,1,60.0,0.5,0,0,monthly
C00170,1,0,60.0,2.0,0,0,monthly
C00171,1,1,60.0,0.7,1,1,annual
C00172,1,1,60.0,3.8,0,0,annual
C00173,0,0,60.0,5.2,1,0,monthly
C00174,1,1,42.3,2.8,1,0,monthly
C00175,0,0,60.0,2.8,0,2,monthly
C00176,1,1,60.0,1.0,0,2,annual
C00177,0,1,49.8,3.8,0,2,annual
C00178,1,0,60.0,5.8,0,1,monthly
C00179,0,0,60.0,3.5,1,0,monthly
C00180,0,0,60.0,2.2,0,0,monthly
C00181,0,1,60.0,4.6,1,0,monthly
C00182,1,1,40.3,2.5,1,0,annual
C00183,0,1,60.0,7.6,1,0,annual
C00184,1,1,41.2,1.6,1,1,monthly
C00185,0,0,60.0,1.2,1,0,annual
C00186,0,0,44.1,3.1,1,2,monthly
C00187,0,1,60.0,2.6,1,0,monthly
C00188,0,0,37.4,7.3,0,2,annual
C00189,1,1,60.0,1.4,1,3,monthly
C00190,1,0,60.0,1.6,1,0,monthly
C00191,0,1,41.4,0.3,0,0,annual
C00192,0,0,60.0,4.5,1,0,monthly
C00193,0,0,60.0,2.4,1,0,annual
C00194,1,1,60.0,1.7,1,0,monthly
C00195,1,0,56.6,3.0,0,1,monthly
C00196,1,0,60.0,4.8,1,0,monthly
C00197,0,1,60.0,5.7,1,1,monthly
C00198,0,1,58.2,3.7,1,1,annual
C00199,1,0,60.0,1.3,1,2,monthly
C00200,1,0,60.0,1.2,0,1,monthly
C00201,0,0,60.0,3.9,0,1,monthly
C00202,0,1,60.0,1.4,1,1,annual
C00203,1,1,60.0,3.2,0,1,monthly
C00204,0,0,60.0,3.1,1,0,monthly
C00205,0,1,60.0,0.7,0,0,annual
C00206,1,0,60.0,2.0,0,1,monthly
C00207,1,0,60.0,0.2,0,0,annual
C00208,0,0,60.0,2.0,1,2,annual
